neighbourhood_cleansed,Average Rent
Near North Side,"$2,200 "
Lakeview,"$1,395 "
West Town,"$1,600 "
Loop,"$2,350 "
Uptown,"$1,299 "
Lincoln Park,"$1,500 "
Rogers Park,"$1,180 "
Edgewater,"$1,299 "
Logan Square,"$1,395 "
Near West Side,"$2,200 "
Hyde Park,"$1,450 "
Lincoln Square,"$1,200 "
Evanston,"$1,230 "
South Loop,"$1,975 "
Kenwood,"$1,465 "
North Center,"$1,450 "
Albany Park,"$1,190 "
Avondale,"$1,250 "
Lower West Side,"$1,275 "
Irving Park,"$1,175 "
South Shore,$995 
West Ridge,"$1,045 "
Douglas,"$1,206 "
Humboldt Park,"$1,095 "
Grand Boulevard,"$1,390 "
Portage Park,$998 
Woodlawn,"$1,235 "
Grand Crossing,"$1,000 "
Austin,$863 
South Lawndale,$888 
Washington Park,$960 
Bridgeport,"$1,100 "
Chicago Lawn,$950 
Chatham,$825 
Auburn Gresham,"$1,145 "
Belmont Cragin,$980 
North Park,"$1,050 "
Jefferson Park,"$1,098 "
North Lawndale,"$1,000 "
East Garfield Park,$950 
Dunning,"$1,000 "
Hermosa,$995 
Englewood,"$1,100 "
Norridge,"$1,338 "
South Chicago,$860 
Edison Park,"$1,400 "
Armour Square,"$1,000 "
Roseland,"$1,000 "
Norwood Park,$975 
New City,"$1,375 "
West Garfield Park,$750 
Gage Park,$825 
Brighton Park,$838 
O'hare,"$1,133 "
West Lawn,$945 
Forest Glen,$970 
Clearing,$895 
West Englewood,"$1,025 "
West Pullman,"$1,450 "
Montclare,"$1,000 "
Morgan Park,"$1,095 "
Washington Heights,$900 
Calumet Heights,$950 
Beverly,$975 
East Side,$675 
Mount Greenwood,"$1,500 "
Pullman,$875 
South Deering,"$1,300 "
Ashburn,"$1,425 "
Avalon Park,"$1,100 "
